issue_id,category,issue_description,solution
1,"Smartphone Issues > Power and Battery > Device won't turn on","My phone suddenly won't turn on at all, even though it was fully charged last night. What can I do?","Please try pressing and holding the power button for 10-15 seconds to force a reboot. If this doesn't work, try charging the device with a different cable and adapter, as sometimes charging accessories can be faulty."
2,"Laptop Issues > Performance > Slow performance","My laptop has been running extremely slow lately. It takes forever to open even basic applications like the browser. Any suggestions?","First, check if there are too many programs running at startup. You can disable unnecessary programs via Task Manager (Windows) or System Preferences (Mac). Also, make sure your laptop isn't running low on storage, as this can affect performance."
3,"Smart Home Devices > Connectivity > Device not connecting to Wi-Fi","My smart plug is not connecting to my Wi-Fi network. It just keeps blinking. What should I do?","Ensure that your Wi-Fi is operating at 2.4 GHz, as most smart plugs do not support 5 GHz. Also, make sure the Wi-Fi password is entered correctly and that the device is within range of the router."
4,"Account and Billing Issues > Subscription and Billing > Incorrect charges","I was charged twice for my monthly subscription. Why did this happen and how can I get a refund?","We apologize for the inconvenience. Please reach out to our support team through the account settings page, and provide a screenshot of your billing history. We will review the issue and process a refund for any duplicate charges."
5,"Order and Delivery Issues > Returns and Refunds > Refund not processed","I returned an item two weeks ago, but I still haven't received my refund. What is going on?","Refunds usually take 5-10 business days to process after the item is received. Please check your return tracking to ensure the item has reached us. If it has, contact our support team with your return tracking number for further assistance."
6,"Product Information > Warranty and Support > Warranty coverage details","I want to know if my laptop battery is covered under the warranty. Can you help?","Battery coverage depends on the warranty type. Standard warranties usually cover battery defects for one year. Please refer to your warranty document or contact support with your serial number to confirm coverage."
7,"Smartphone Issues > Network > Wi-Fi connection issues","My phone keeps disconnecting from Wi-Fi randomly. What should I do?","Try forgetting the Wi-Fi network and reconnecting. Make sure your phone's software is up to date. If the problem persists, restart your router and check if other devices are experiencing similar issues."
8,"Laptop Issues > Hardware > Keyboard not working","Some keys on my laptop's keyboard have stopped working. What can I do to fix this?","First, try cleaning the keyboard to remove any dust or debris. If that doesn't work, connect an external keyboard to check if it's a hardware issue. You may need to update the keyboard drivers or get the keyboard replaced."
9,"Smart Home Devices > Voice Control > Voice assistant not responding","My smart speaker isn't responding to my voice commands anymore. Any ideas why?","Make sure the microphone is not muted. Also, check if the device is connected to the internet. Restart the device and try recalibrating the voice recognition settings."
10,"Account and Billing Issues > Account Access > Forgot password","I can't remember my password and can't log in. What should I do?","Click on the 'Forgot Password' link on the login page. You will receive an email with instructions on how to reset your password. Make sure to check your spam folder if you don't see the email."
11,"Order and Delivery Issues > Order Status > Order not received","My order was supposed to arrive last week, but I haven't received it yet. What can I do?","Please check the tracking information provided in your order confirmation email. If the tracking shows no updates, contact our support team with your order number, and we will investigate the delay."
